Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002887,E02002871,14,0,0,0,4,0,0,9,1,0,0,0,5973.491758734926,0.03678959737931492,0,0.040388082610773625,0,14,0.5654331565508307,3.832649024039258,4,0.2857142857142857,5.9734917587349265,5-6 km,4-6 km
E02002887,E02002872,35,0,0,0,7,0,0,18,6,0,4,0,5495.509598743384,0.03415288356471963,0,0.041884402095877515,0,31,1.298416464972203,8.800995377823861,9,0.2571428571428571,5.495509598743384,5-6 km,4-6 km
E02002887,E02002874,33,0,1,0,8,0,1,20,1,2,0,0,6367.222479157415,0.03624777950287608,0.06060606060606061,0.03836732170782521,1.579627086497927,31,0.39793124664584606,2.697278690544605,5,0.15151515151515152,6.367222479157415,6-7 km,6-8 km
E02002887,E02002875,12,0,0,0,1,0,0,10,0,0,1,0,4725.860371997273,0.029114845471617138,0,0.043413242102861335,0,11,0.4775456631314747,3.2369253527680093,3,0.25,4.725860371997274,4-5 km,4-6 km
E02002887,E02002876,16,0,0,0,1,0,0,13,0,1,0,1,3622.4156330654832,0.041892295823027385,0.0625,0.04879149341267128,1.2809609960364237,15,0.30118108063094123,2.041481581626167,3,0.1875,3.6224156330654833,3-4 km,2-4 km
E02002887,E02002877,18,0,0,0,6,0,1,8,2,0,1,0,6120.5164417769065,0.04656101183429398,0,0.04199792582439145,0,17,0.7139647390146546,4.839433677492465,5,0.2777777777777778,6.120516441776907,6-7 km,6-8 km
E02002887,E02002878,19,0,1,0,3,0,0,7,0,0,8,0,2331.3749797122196,0.03633984519958179,0,0.044456114351469005,0,11,0.48901725786615907,3.3146827248900483,3,0.15789473684210525,2.3313749797122196,2-3 km,2-4 km
E02002887,E02002879,15,0,0,0,2,0,0,10,0,2,0,1,4834.333060467029,0.034554934374993095,0.13333333333333333,0.044455271384199524,2.9992693595550337,13,0.07227641049600647,0.4899078006644586,2,0.13333333333333333,4.834333060467029,4-5 km,4-6 km
E02002887,E02002880,12,0,0,0,0,2,0,4,2,2,2,0,1912.6216905537294,0.04881428542286852,0.16666666666666666,0.044950162333781275,3.707810117104118,8,0.027520681740310086,0.1865421452401375,2,0.16666666666666666,1.9126216905537294,1-2 km,0-2 km
E02002887,E02002881,29,0,0,0,1,0,0,14,2,1,11,0,1716.512091035348,0.03545840194411666,0.034482758620689655,0.04003340965452852,0.8613495307609657,17,0.3746100776921168,2.5392019057037603,4,0.13793103448275862,1.716512091035348,1-2 km,0-2 km
E02002887,E02002884,19,0,0,0,5,0,0,14,0,0,0,0,4880.654122566395,0.025267025199793704,0,0.0419920610152718,0,19,0.7978491592901642,5.408023505974038,5,0.2631578947368421,4.880654122566395,4-5 km,4-6 km
E02002887,E02002885,28,0,1,0,8,0,1,12,5,0,1,0,3902.042278740794,0.04034223572915289,0,0.04814776686639186,0,27,1.2999897053925802,8.811659199518576,9,0.32142857142857145,3.902042278740794,3-4 km,2-4 km
E02002887,E02002886,63,0,0,0,4,0,0,28,6,3,21,1,2586.340117481659,0.026040534010027105,0.047619047619047616,0.04296390569356175,1.108350063857985,39,0.7771802341220556,5.267924300690927,8,0.12698412698412698,2.586340117481659,2-3 km,2-4 km
E02002887,E02002887,158,0,0,1,15,1,0,61,7,9,63,1,0,0.03925217761416932,0.056962025316455694,0.00793210003153902,7.181203601816362,86,0.004700336436286018,0.0318600698358026,9,0.056962025316455694,0,NA,NA
E02002887,E02002889,47,0,0,1,27,0,0,17,1,0,1,0,4251.659873649332,0.03386776431365567,0,0.045830498773544344,0,46,2.1082029435830396,14.289933055020377,14,0.2978723404255319,4.2516598736493325,4-5 km,4-6 km
E02002887,E02002890,61,0,1,0,28,0,0,22,5,1,4,0,5683.85894041526,0.02911120772780284,0.01639344262295082,0.03989900528139207,0.41087346682791426,56,1.680601928382888,11.391545164960856,12,0.19672131147540983,5.68385894041526,5-6 km,4-6 km
E02002887,E02002892,48,0,0,0,5,0,0,20,4,4,15,0,1487.23315708937,0.023038443692782646,0.08333333333333333,0.035224462916743714,2.3657800980613786,29,0.19818537610377726,1.3433506321709872,5,0.10416666666666667,1.48723315708937,1-2 km,0-2 km
E02002887,E02002893,37,0,0,0,8,0,0,22,2,1,4,0,3171.939587306364,0.024769558960477125,0.02702702702702703,0.044023496751425514,0.6139227690074818,32,0.9205032900268237,6.239404243053226,7,0.1891891891891892,3.171939587306364,3-4 km,2-4 km
E02002887,E02002894,16,0,0,0,2,1,0,7,1,2,3,0,1488.3811875990218,0.024573155590665467,0.125,0.035551372987206724,3.5160386082692687,11,0.03418345658804391,0.23170411924486634,2,0.125,1.4883811875990218,1-2 km,0-2 km
E02002887,E02002895,30,0,1,0,15,1,0,12,1,0,0,0,4233.979669035472,0.03174584442300247,0,0.04530951928070188,0,30,1.3592855784210562,9.213581632363589,9,0.3,4.233979669035472,4-5 km,4-6 km
